lemma,sense_name,definition,example,example_source,contains_word,Notes
hold,hold.v.11,contain or hold; have within,The canteen holds fresh water,wordnet,TRUE,
break,fail.v.04,stop operating or functioning,The car broke down,hand_written,FALSE,
brush,brush.n.03,momentary contact,The car brushed against the curb,hand_written,TRUE,
cut,swerve.v.01,turn sharply; change direction abruptly,The car cut to the left at the intersection,wordnet,TRUE,
drive,drive.v.14,move by being propelled by a force,The car drove around the corner,wordnet,FALSE,
hit,hit.v.02,hit against; come into sudden contact with,The car hit a tree,wordnet,TRUE,
run,run.v.13,"be operating, running or functioning",The car is still running--turn it off!,wordnet,TRUE,
car,car.n.03,the compartment that is suspended from an airship and that carries personnel and the cargo and the power plant,The car of the airship,hand_written,TRUE,
shoulder,shoulder.n.05,a narrow edge of land (usually unpaved) along the side of a road,The car pulled off onto the shoulder,wordnet,TRUE,
pull,pull.v.03,move into a certain direction,The car pulls to the right,wordnet,TRUE,
stop,stop.v.01,"come to a halt, stop moving",The car stopped,wordnet,TRUE,
tear,tear.v.03,move quickly and violently,The car tore down the street,wordnet,FALSE,
car,car.n.04,where passengers ride up and down,The car was on the top floor,wordnet,TRUE,
cover,traverse.v.01,travel across or pass over,The caravan covered almost 100 miles each day,wordnet,TRUE,
finish,finish.v.04,provide with a finish,The carpenter finished the table beautifully,wordnet,TRUE,
tape,tape.n.04,measuring instrument consisting of a narrow strip (cloth or metal) marked in inches or centimeters and used for measuring lengths,The carpenter should have used his tape measure,wordnet,TRUE,
draw,pull.v.09,"cause to move in a certain direction by exerting a force upon, either physically or in an abstract sense",The cart was drawn by an ox,hand_written,TRUE,
get,get.v.32,overcome or destroy,The cat got the goldfish,wordnet,FALSE,
cry,cry.v.06,utter a characteristic sound,The cat was crying,wordnet,TRUE,
wash,wash.v.13,to cleanse (itself or another animal) by licking,The cat washes several times a day,wordnet,TRUE,
cat,guy.n.01,an informal term for a youth or man,The cat's only doing it for some doll,hand_written,FALSE,
beads,beading.n.02,a beaded molding for edging or decorating furniture,The chair leg has ornate gold beading,hand_written,FALSE,
touch,reach.v.06,to extend as far as,The chair must not touch the wall,wordnet,TRUE,
stand,stand.v.12,be available for stud services,The champion horse will stand next month,hand_written,TRUE,
chicken,chicken.n.02,a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl,The chicken says bock bock bock,childes,TRUE,
yard,yard.n.09,an enclosure for animals (as chicken or livestock),The chickens escaped the yard,hand_written,TRUE,
draw,string.v.01,thread on or as if on a string,The child drew glass beads on a string,wordnet,FALSE,
water,urine.n.01,liquid excretory product,The child had to make water,wordnet,TRUE,
game,game.n.09,the game equipment needed in order to play a particular game,The child received several games for his birthday,wordnet,TRUE,
blow,shove_off.v.01,leave; informal or rude,The children blew along,hand_written,FALSE,
dance,dance.v.03,"skip, leap, or move up and down or sideways",The children danced with joy,wordnet,TRUE,
clap,clap.v.04,clap one's hands together,The children were clapping to the music,wordnet,TRUE,
chips,chip.n.02,a triangular wooden float attached to the end of a log line,The chip log is used to measure the speed of a ship through water,hand_written,FALSE,
dog,andiron.n.01,metal supports for logs in a fireplace,The cinder remains of the firewood rested on the dog,hand_written,TRUE,
fall,fall.v.09,be captured,The cities fell to the enemy,wordnet,FALSE,
cracker,firecracker.n.01,firework consisting of a small explosive charge and fuse in a heavy paper casing,The city organizes a fire cracker show on 4th of July,hand_written,TRUE,
heavy,clayey.s.02,(used of soil) compact and fine-grained,The clayey soil was heavy and easily saturated,wordnet,TRUE,
slow,slow.a.04,(used of timepieces) indicating a time earlier than the correct time,The clock is slow,wordnet,TRUE,
say,say.v.11,indicate,The clock says noon,wordnet,TRUE,
clock,clock.n.01,a timepiece that shows the time of day,The clock struck midnight,hand_written,TRUE,
break,break.v.08,scatter or part,The clouds broke after the heavy downpour,wordnet,FALSE,
cut,cut.v.05,discharge from a group,The coach cut two players from the team,wordnet,TRUE,
wind,wind.n.03,breath,The collision knocked the wind out of him,wordnet,TRUE,
draw,draw.v.10,"elicit responses, such as objections, criticism, applause, etc.",The comdedian drew a lot of laughter,wordnet,FALSE,
dump,dump.v.02,"sever all ties with, usually unceremoniously or irresponsibly",The company dumped him after many years of service,wordnet,TRUE,
butt,target.n.04,sports equipment consisting of an object set up for a marksman or archer to aim at,The competitor must shoot butts at ranges of 75 to 200 yards,hand_written,TRUE,
close,conclude.v.04,come to a close,The concert closed with a nocturne by Chopin,wordnet,TRUE,
bring,bring.v.11,induce or persuade,The confession of one of the accused brought the others to admit to the crime as well,wordnet,FALSE,
cookie,cookie.n.02,the cook on a ranch or at a camp,The cookie at camp is so talented,hand_written,TRUE,
bench,terrace.n.02,a level shelf of land interrupting a declivity (with steep slopes above and below),The cottage sits on a bench in the mountains,hand_written,TRUE,
cover,cover.v.05,act on verbally or in some form of artistic expression,The course covered all of Western Civilization,wordnet,TRUE,
drop,drop.v.23,give birth; used for animals,The cow dropped her calf this morning,wordnet,TRUE,
cow,cow.n.02,mature female of mammals of which the male is called `bull',The cow just gave birth to a calf,hand_written,TRUE,
cracker,redneck.n.01,a poor White person in the southern United States,The cracker had to crack his own corn,hand_written,TRUE,
watch,watch.n.02,a period of time (4 or 2 hours) during which some of a ship's crew are on duty,The crewmate fell asleep during his watch,hand_written,TRUE,
crib,crib.n.04,the cards discarded by players at cribbage,The crib belongs to the dealer,hand_written,TRUE,
hen,hen.n.02,adult female bird,The crow hen protected her chicks,hand_written,TRUE,
ice,ice_rink.n.01,a rink with a floor of ice for ice hockey or ice skating,The crowd applauded when she skated out onto the ice,wordnet,TRUE,
push,push.v.09,move strenuously and with effort,The crowd pushed forward,wordnet,TRUE,
lick,lap.v.04,take up with the tongue,The cub licked the milk from its mother's breast,wordnet,TRUE,
cover,report.v.05,"be responsible for reporting the details of, as in journalism",The cub reporter covered New York City,wordnet,TRUE,
cup,cup.n.05,cup-shaped plant organ,The cup of the buttercup is filled with dew,hand_written,TRUE,
rip,rend.v.01,tear or be torn violently,The curtain ripped from top to bottom,wordnet,TRUE,
break,collapse.v.01,"break down, literally or metaphorically",The dam broke,hand_written,FALSE,
dark,benighted.s.02,lacking enlightenment or knowledge or culture,The dark ages,wordnet,TRUE,
dark,blue.s.08,causing dejection,The dark days of the war,wordnet,TRUE,
shoe,shoe.n.02,(card games) a case from which playing cards are dealt one at a time,The dealer delt from the shoe,hand_written,TRUE,
draw,draw.v.18,write a legal document or paper,The deed was drawn in the lawyer's office,wordnet,TRUE,
brush,brush.n.07,the act of brushing your teeth,The dentist recommended two brushes a day,wordnet,TRUE,
jacket,crown.n.11,(dentistry) dental appliance consisting of an artificial crown for a broken or decayed tooth,The dentist says I need a new jacket after my last one cracked,hand_written,TRUE,
wash,moisten.v.01,make moist,The dew washed the meadows,hand_written,FALSE,
show,show.v.10,"give evidence of, as of records",The diary shows his distress that evening,wordnet,TRUE,
picture,picture.n.05,illustrations used to decorate or explain a text,The dictionary had many pictures,wordnet,TRUE,
hold,hold.v.29,"take and maintain control over, often by violent means",The dissatisfied students held the President's office for almost a week,wordnet,FALSE,
cat,computerized_tomography.n.01,a method of examining body organs by scanning them with X rays and using a computer to construct a series of cross-sectional scans along a single axis,The doctor says I need a CAT scan,hand_written,FALSE,
see,see.v.15,receive as a specified guest,The doctor will see you now,wordnet,TRUE,
dog,dog.n.01,a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds,The dog barked all night,wordnet,TRUE,
make,stool.v.04,have a bowel movement,The dog had made in the flower beds,wordnet,FALSE,
coat,coat.n.03,growth of hair or wool or fur covering the body of an animal,The dog has a thick coat,hand_written,TRUE,
lick,lick.v.02,pass the tongue over,The dog licked her hand,wordnet,TRUE,
carry,carry.v.30,pursue a line of scent or be a bearer,The dog was taught to fetch and carry,wordnet,TRUE,
run,hunt.v.01,pursue for food or sport (as of wild animals),The dogs are running deer,wordnet,TRUE,
open,open.v.03,become open,The door opened,wordnet,TRUE,
open,afford.v.04,afford access to,The door opens to the patio,wordnet,TRUE,
blow,blow.v.18,cause to be revealed and jeopardized,The double agent was blown by the other side,wordnet,TRUE,
hug,hug.v.02,fit closely or tightly,The dress hugged her hips,wordnet,TRUE,
belt,belt.n.01,endless loop of flexible material between two rotating shafts or pulleys,The drive belt broke,hand_written,TRUE,
carry,carry.v.36,cover a certain distance or advance beyond,The drive carried to the green,wordnet,FALSE,
dry,dry.a.04,opposed to or prohibiting the production and sale of alcoholic beverages,The dry vote led by preachers and bootleggers,wordnet,TRUE,
skate,skate.v.01,move along on skates,The Dutch often skate along the canals in winter,wordnet,TRUE,
button,push_button.n.01,an electrical switch operated by pressing,The elevator was operated by push buttons,wordnet,TRUE,
cut,reduce.v.01,cut down on; make a reduction in,The employer wants to cut back health benefits,wordnet,TRUE,
block,engine_block.n.01,a metal casting containing the cylinders and cooling ducts of an engine,The engine had to be replaced because the block was cracked,wordnet,TRUE,
play,play.v.24,cause to move or operate freely within a bounded space,The engine has a wheel that is playing in a rack,wordnet,TRUE,
go,fail.v.04,stop operating or functioning,The engine is gonna go,hand_written,FALSE,
knock,pink.v.02,sound like a car engine that is firing too early,The engine is knocking,hand_written,TRUE,
long,long.a.06,(of speech sounds or syllables) of relatively long duration,"The English vowel sounds in `bate', `beat', `bite', `boat', `boot' are long",wordnet,TRUE,
fall,fall.v.21,be inherited by,The estate fell to your sister,hand_written,FALSE,
taste,taste.v.06,experience briefly,The ex-slave tasted freedom shortly before she died,wordnet,TRUE,
window,window.n.05,the time period that is considered best for starting or finishing something,The expanded window will give us time to catch the thieves,wordnet,TRUE,
fit,equip.v.01,provide with (something) usually for a specific purpose,"The expedition was fitted with proper clothing, food, and other necessities",hand_written,TRUE,
good,beneficial.s.01,promoting or enhancing well-being,The experience was good for her,wordnet,TRUE,
face,face.n.04,the striking or working surface of an implement,The face of a hammer,hand_written,TRUE,
face,face.n.03,the general outward appearance of something,The face of the city is changing,wordnet,TRUE,
